name,website,twitter,github,category,tvl_usd
Balancer V3,https://balancer.finance/,Balancer,,DEX,323990000.00
Drift Staked SOL,https://app.drift.trade/ref/defillama,DriftProtocol,,DeFi,320816000.00
Solv Basis Trading,https://solv.finance/,SolvProtocol,,DeFi,319215000.00
Ondo Global Markets,https://ondo.finance,OndoFinance,,DeFi,317886000.00
Telos Consilium,https://telosc.com/,TelosConsilium,,DeFi,310500000.00
Liquity V1,https://www.liquity.org/,LiquityProtocol,,DeFi,308613000.00
Kamino Liquidity,https://kamino.finance/,KaminoFinance,,DeFi,300514000.00
The Vault Liquid Staking,https://thevault.finance,thevaultfinance,,DeFi,300448000.00
Anemoy Capital,https://www.anemoy.io,anemoycapital,,DeFi,295539000.00
Beefy,https://beefy.com,beefyfinance,"{""beefyfinance""}",Yield,294220000.00
Upshift,https://app.upshift.finance/r/8feeeF621Ee3,upshift_fi,,DeFi,293847000.00
SolvBTC LSTs,https://solv.finance,SolvProtocol,,DeFi,293371000.00
Momentum,https://app.mmt.finance/trade,MMTFinance,,DEX,291640000.00
Reservoir Protocol,https://www.reservoir.xyz,reservoir_xyz,,DeFi,287646000.00
PayCash,https://paycashswap.com,PayCashTweet,,DEX,284848000.00
VALR,https://valr.com/,VALRdotcom,,DeFi,276474000.00
PumpSwap,https://swap.pump.fun,pumpdotfun,,DEX,275823000.00
Block Analitica,https://blockanalitica.substack.com,BlockAnalitica,,DeFi,274930000.00
